,Date,Payout,Deficit
0,2020-11-01 14:45:00,760.24,
1,2020-12-01 14:45:00,,1000.0
2,2021-01-01 14:45:00,,1990.0
3,2021-02-01 08:45:00,,1990.0
4,2021-03-01 14:45:00,760.24,
5,2021-04-01 14:45:00,,2970.1
6,2021-05-01 14:45:00,,3940.4
7,2021-06-01 14:45:00,,6793.47
8,2021-07-01 14:45:00,,3084.96
9,2021-08-01 14:45:00,,3084.96
10,2021-09-01 14:45:00,,4110.91
11,2021-10-01 14:45:00,,5069.8
12,2021-11-01 14:45:00,2107.7360000000003,
13,2021-12-01 14:45:00,760.24,
14,2022-01-01 14:45:00,2400.0,
15,2022-02-01 14:45:00,,2970.1
16,2022-03-01 10:00:00,,177.5
17,2022-04-01 14:45:00,2205.0400000000004,
18,2022-05-01 14:45:00,,2970.1
19,2022-06-01 14:45:00,,6848.65
20,2022-07-01 14:45:00,,4110.91
21,2022-08-01 14:45:00,,5069.8
22,2022-09-01 14:45:00,,3199.67
23,2022-10-01 14:45:00,,2279.78
24,2022-11-01 14:45:00,,2279.78
25,2022-12-01 14:45:00,,354.69
26,2023-01-01 14:45:00,,354.69
27,2023-02-01 10:45:00,3675.688,
28,2023-03-01 14:45:00,2400.0,
29,2023-04-01 14:45:00,2351.216,
30,2023-05-01 14:45:00,,3027.54
31,2023-06-01 14:45:00,,3027.54
32,2023-07-01 14:45:00,,118.37
33,2023-08-01 14:45:00,,118.37
34,2023-09-01 14:45:00,,1175.73
