,Datetime,H4_high,H4_low
0,2023-08-07 02:00:00,1.2757054567337036,1.2732689380645752
1,2023-08-07 06:00:00,1.2757054567337036,1.271504282951355
2,2023-08-07 10:00:00,1.2772533893585205,1.2717629671096802
3,2023-08-07 14:00:00,1.2786905765533447,1.2749247550964355
4,2023-08-07 18:00:00,1.2789523601531982,1.2749247550964355
5,2023-08-07 22:00:00,1.2789523601531982,1.2749247550964355
6,2023-08-08 02:00:00,1.2789523601531982,1.2749247550964355
7,2023-08-08 06:00:00,1.2777429819107056,1.273934006690979
8,2023-08-08 10:00:00,1.2777429819107056,1.26850426197052
9,2023-08-08 14:00:00,1.2777429819107056,1.26850426197052
10,2023-08-08 18:00:00,1.2777429819107056,1.26850426197052
11,2023-08-08 22:00:00,1.2777429819107056,1.26850426197052
12,2023-08-09 02:00:00,1.2777429819107056,1.26850426197052
13,2023-08-09 06:00:00,1.277955174446106,1.2742749452590942
14,2023-08-09 10:00:00,1.2766337394714355,1.2714558839797974
15,2023-08-09 14:00:00,1.2766337394714355,1.2712618112564087
16,2023-08-09 18:00:00,1.2766337394714355,1.2712618112564087
17,2023-08-09 22:00:00,1.2766337394714355,1.2711488008499146
18,2023-08-10 02:00:00,1.2766337394714355,1.271019458770752
19,2023-08-10 06:00:00,1.2768456935882568,1.2712780237197876
20,2023-08-10 10:00:00,1.281164288520813,1.2742749452590942
21,2023-08-10 14:00:00,1.2783145904541016,1.2706642150878906
22,2023-08-10 18:00:00,1.2760798931121826,1.2673468589782715
23,2023-08-10 22:00:00,1.2760798931121826,1.2666724920272827
24,2023-08-11 02:00:00,1.2760798931121826,1.2666724920272827
25,2023-08-11 06:00:00,1.2760798931121826,1.2666724920272827
26,2023-08-11 10:00:00,1.2760798931121826,1.2666724920272827
27,2023-08-11 14:00:00,1.2760798931121826,1.2666724920272827
28,2023-08-11 18:00:00,1.2760798931121826,1.2666724920272827
29,2023-08-11 22:00:00,1.2760798931121826,1.2666724920272827
30,2023-08-14 02:00:00,1.2760798931121826,1.2666724920272827
31,2023-08-14 06:00:00,1.2760798931121826,1.2666724920272827
32,2023-08-14 10:00:00,1.2714558839797974,1.2645902633666992
33,2023-08-14 14:00:00,1.27068030834198,1.2619092464447021
34,2023-08-14 18:00:00,1.27068030834198,1.2619092464447021
35,2023-08-14 22:00:00,1.27068030834198,1.2619092464447021
36,2023-08-15 02:00:00,1.27068030834198,1.2619092464447021
37,2023-08-15 06:00:00,1.271779179573059,1.2652462720870972
38,2023-08-15 10:00:00,1.2729448080062866,1.2652462720870972
39,2023-08-15 14:00:00,1.2752825021743774,1.2652462720870972
40,2023-08-15 18:00:00,1.2752825021743774,1.2652462720870972
41,2023-08-15 22:00:00,1.2752825021743774,1.2652462720870972
42,2023-08-16 02:00:00,1.2752825021743774,1.2652462720870972
43,2023-08-16 06:00:00,1.276535987854004,1.2692127227783203
44,2023-08-16 10:00:00,1.2766011953353882,1.2692127227783203
45,2023-08-16 14:00:00,1.2766011953353882,1.2692127227783203
46,2023-08-16 18:00:00,1.2766011953353882,1.2692127227783203
47,2023-08-16 22:00:00,1.2766011953353882,1.2692127227783203
48,2023-08-17 02:00:00,1.2766011953353882,1.2692127227783203
49,2023-08-17 06:00:00,1.2766011953353882,1.2692127227783203
50,2023-08-17 10:00:00,1.2779879570007324,1.2692127227783203
51,2023-08-17 14:00:00,1.2787723541259766,1.270405888557434
52,2023-08-17 18:00:00,1.2787723541259766,1.270405888557434
53,2023-08-17 22:00:00,1.2787723541259766,1.270405888557434
54,2023-08-18 02:00:00,1.2787723541259766,1.270405888557434
55,2023-08-18 06:00:00,1.2787723541259766,1.270405888557434
56,2023-08-18 10:00:00,1.2756078243255615,1.2690516710281372
57,2023-08-18 14:00:00,1.2756078243255615,1.2690516710281372
58,2023-08-18 18:00:00,1.2756729125976562,1.270405888557434
59,2023-08-18 22:00:00,1.2756729125976562,1.270405888557434
